"SiteName","SiteSlug","NavFix","CascadingFix","PagesFixed","PagesScanned","PagesFailed","Error","LogFile"
"FTC Migration Test Site","ftcmigrationtestsite","ERROR","ALREADY_CASCADING","0","15","4","","C:\Users\v-nmahanthi\OneDrive - Microsoft\Documents\SPORemidation\RemediationLogs\ftcmigrationtestsite_20260513_171327.log"
"HR Portal","hrportal","FAILED","ERROR","0","0","0","","C:\Users\v-nmahanthi\OneDrive - Microsoft\Documents\SPORemidation\RemediationLogs\hrportal_20260513_171327.log"
"IT Help Desk","ithelpdesk","ERROR","ERROR","0","0","0","","C:\Users\v-nmahanthi\OneDrive - Microsoft\Documents\SPORemidation\RemediationLogs\ithelpdesk_20260513_171327.log"
"Finance","finance","ERROR","ERROR","0","0","0","","C:\Users\v-nmahanthi\OneDrive - Microsoft\Documents\SPORemidation\RemediationLogs\finance_20260513_171327.log"
