"SiteName","SiteSlug","NavFix","CascadingFix","PagesFixed","PagesScanned","PagesFailed","Error","LogFile"
"FTC Migration Test Site","ftcmigrationtestsite","FIXED(1)","ALREADY_CASCADING","1","15","0","","C:\Users\v-nmahanthi\OneDrive - Microsoft\Documents\SPORemidation\RemediationLogs\ftcmigrationtestsite_20260513_175343.log"
"HR Portal","hrportal","ERROR","ERROR","0","0","0","","C:\Users\v-nmahanthi\OneDrive - Microsoft\Documents\SPORemidation\RemediationLogs\hrportal_20260513_175343.log"
"IT Help Desk","ithelpdesk","ERROR","ERROR","0","0","0","","C:\Users\v-nmahanthi\OneDrive - Microsoft\Documents\SPORemidation\RemediationLogs\ithelpdesk_20260513_175343.log"
"Finance","finance","ERROR","ERROR","0","0","0","","C:\Users\v-nmahanthi\OneDrive - Microsoft\Documents\SPORemidation\RemediationLogs\finance_20260513_175343.log"
