"AppId","AppName","RobotEmail","TotalEvents","UniqueSpaces","EventTypes","SpacesUsedIn","TotalMsgLength","AvgMsgLength","MaxMsgLength","MessagesWithSize","FirstSeen","LastActivityDate"
"gcp/1077762947798","Polly","gcp/1077762947798","9","2","app_added | app_removed | app_invoked","","0","0","0","0","2026-04-09T05:43:05Z","2026-04-13T15:47:01Z"
"gcp/330982171253","Poll","gcp/330982171253","8","2","app_added | app_removed | app_invoked","MyTestSpace","0","0","0","0","2026-04-09T05:45:32Z","2026-04-13T15:44:28Z"
"gcp/882371411600","Google Drive","gcp/882371411600","8","8","app_added","","0","0","0","0","2026-03-20T15:36:29Z","2026-04-02T10:38:35Z"
"gcp/687007803052","Absolute Poll","gcp/687007803052","5","1","app_invoked","","0","0","0","0","2026-04-09T05:33:52Z","2026-04-09T05:34:17Z"
"gcp/963775668283","Abang Translator","gcp/963775668283","4","3","app_invoked | app_added","TestSpace1 | testSpace11","0","0","0","0","2026-03-20T15:39:18Z","2026-04-08T14:22:52Z"
"gcp/640988948886","Agatha","gcp/640988948886","4","4","app_added","MyTestSpace | TestSpace1","0","0","0","0","2026-03-20T15:39:26Z","2026-04-13T15:44:28Z"
"gcp/1063804824442","Jira","gcp/1063804824442","2","2","app_added","","0","0","0","0","2026-04-13T15:46:50Z","2026-04-13T15:46:50Z"
"gcp/836748676320","Cuneiform Chat","gcp/836748676320","2","2","app_added","TestSpace1","0","0","0","0","2026-04-08T14:25:06Z","2026-04-08T14:25:06Z"
