PageUrl,Kind,EmbedUrl,Context
"https://sites.google.com/censftmigsme.microsoft-int.com/ftcmigrationtestsite/resources","iframe","https://docs.google.com/document/d/13v2NGJjXX1UztGkhkMDIJSH7CXnPGlw_bWMaHt3PIqM/preview?authuser=0","<iframe jsname=""L5Fo6c"" jscontroller=""usmiIb"" jsaction=""rcuQ6b:WYd;"" class=""YMEQtf L6cTce-pur"
"https://sites.google.com/censftmigsme.microsoft-int.com/ftcmigrationtestsite/resources","iframe","https://docs.google.com/spreadsheets/d/1FGbMe4O1NCSbiR1ypypCYI2gF0MQvJpzCotvhgtDLO0/htmlembed?authuser=0","<iframe jsname=""L5Fo6c"" jscontroller=""usmiIb"" jsaction=""rcuQ6b:WYd;"" class=""YMEQtf L6cTce-pur"
"https://sites.google.com/censftmigsme.microsoft-int.com/ftcmigrationtestsite/resources","iframe","https://docs.google.com/presentation/d/14bBPHoZgfi0BfIeCtW7P8SjXdYY79VQG00B_T-C09eU/embed?authuser=0","<iframe jsname=""L5Fo6c"" jscontroller=""usmiIb"" jsaction=""rcuQ6b:WYd;"" class=""YMEQtf L6cTce-pur"
"https://sites.google.com/censftmigsme.microsoft-int.com/ftcmigrationtestsite/resources","iframe","https://docs.google.com/forms/d/e/1FAIpQLSf3p1V-gpJf4KWnoUHMzEynT2jTyFXXWvYxzPOqL01TJOdtmw/viewform?embedded=true","<iframe jsname=""L5Fo6c"" class=""YMEQtf"" sandbox=""allow-scripts allow-popups allow-forms allow-sa"
"https://sites.google.com/censftmigsme.microsoft-int.com/ftcmigrationtestsite/resources","iframe","https://www.youtube.com/embed/dQw4w9WgXcQ?embed_config=%7B%22enc%22:%22AXH1eznt3E78rheHUAbIQAnHsPdtd_ZL-NWxg3zupPSGJO3xRq7gtHCHN7n2c44wpERQOJHYdgFqvBq70DeY82KmQga66-mx4wKmSKqyZP-a79HqFI3Cu3F5olSBZffa1vohw4isYTjZXJsPL5fqFJRiIBDIadDv1IU6GIpeDC6ir3gN%22%7D&errorlinks=0&rct=CpcBAXH1ezknOC4fVH-kxP2uYwl65MP2FseJiP0WYngXpnDl25dAT2CexkfEBz531AzC9XwcqkjhSjp4KGyplXo9mHE2Ai-9o3PiYqEFXHSJxpK7-aZI_xdWkCokBtErdjD9iWDeBTk3envF4JQyzm72kYLcURsRquW6UZmQj7GONEJPYPzfM9J_Fn6GcDSGKHlCSgdydz9iQg%3D%3D","<iframe jsname=""L5Fo6c"" class=""YMEQtf"" sandbox=""allow-scripts allow-popups allow-forms allow-sa"
"https://sites.google.com/censftmigsme.microsoft-int.com/ftcmigrationtestsite/resources","iframe","https://www.gstatic.com/atari/embeds/05acf2f48052137958a41565358fb972/intermediate-frame-minified.html?jsh=m%3B%2F_%2Fscs%2Fabc-static%2F_%2Fjs%2Fk%3Dgapi.lb.en.ch0Jz-JlMrQ.O%2Fd%3D1%2Frs%3DAHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A%2Fm%3D__features__&r=338826570","<iframe jsname=""WMhH6e"" class="" YMEQtf"" frameborder=""0"" sandbox=""allow-scripts allow-popups a"
"https://sites.google.com/censftmigsme.microsoft-int.com/ftcmigrationtestsite/resources","data-embed","https://1520132465-atari-embeds.googleusercontent.com/embeds/1eea06de280c5ab9b261c0869a310ca0/inner-frame-minified.html?jsh=m%3B%2F_%2Fscs%2Fabc-static%2F_%2Fjs%2Fk%3Dgapi.lb.en.ch0Jz-JlMrQ.O%2Fd%3D1%2Frs%3DAHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A%2Fm%3D__features__","<div jsname=""jkaScf"" jscontroller=""szRU7e"" class=""w536ob"" data-enable-interaction=""true"" dat"
"https://sites.google.com/censftmigsme.microsoft-int.com/ftcmigrationtestsite/resources","youtube-pattern","https://www.youtube.com/embed/dQw4w9WgXcQ",""
