Kind,EmbedUrl,Context
"iframe","https://docs.google.com/document/d/13v2NGJjXX1UztGkhkMDIJSH7CXnPGlw_bWMaHt3PIqM/preview?authuser=0","<iframe jsname=""L5Fo6c"" jscontroller=""usmiIb"" jsaction=""rcuQ6b:WYd;"" class=""YMEQtf L6cTce-pur"
"iframe","https://docs.google.com/spreadsheets/d/1FGbMe4O1NCSbiR1ypypCYI2gF0MQvJpzCotvhgtDLO0/htmlembed?authuser=0","<iframe jsname=""L5Fo6c"" jscontroller=""usmiIb"" jsaction=""rcuQ6b:WYd;"" class=""YMEQtf L6cTce-pur"
"iframe","https://docs.google.com/presentation/d/14bBPHoZgfi0BfIeCtW7P8SjXdYY79VQG00B_T-C09eU/embed?authuser=0","<iframe jsname=""L5Fo6c"" jscontroller=""usmiIb"" jsaction=""rcuQ6b:WYd;"" class=""YMEQtf L6cTce-pur"
"iframe","https://docs.google.com/forms/d/e/1FAIpQLSf3p1V-gpJf4KWnoUHMzEynT2jTyFXXWvYxzPOqL01TJOdtmw/viewform?embedded=true","<iframe jsname=""L5Fo6c"" class=""YMEQtf"" sandbox=""allow-scripts allow-popups allow-forms allow-sa"
"iframe","https://www.youtube.com/embed/dQw4w9WgXcQ?embed_config=%7B%22enc%22:%22AXH1ezlcH5IoAw3QZKjabbB1iuzhLsw2wQwlZgguc0jfwJjhAcM-ZkgIyXDQy9VuODD2eDrQL6M__h6kjGlQPFuPKEdtk8LHyAXfYGQWtrKfohbP7K1oFYepwh_b6lmP79FT6NH034IWyJtJ9EKl3NvUZUvHCCr2aUHrBT7NSc6PE-nN%22%7D&errorlinks=0&rct=CpcBAXH1eznRQ6thq1bpupX82OzbRQ3QNUhWABQcP2zrmof005XgDkOgpqaqIqaWeZTTSAFHjgTQ8vMIgHJrdGhlmM-aYkBG5vH4tOpnMu4eVLL0UnPGxvQ5HgbTe7aQwIsKfMZLjOSNtur8AGzlhzuzktNg4XVVEBag_RV-Rp680YCIESKjTctMOK_hHMFGeB_Qt8MJTFU3ow%3D%3D","<iframe jsname=""L5Fo6c"" class=""YMEQtf"" sandbox=""allow-scripts allow-popups allow-forms allow-sa"
"iframe","https://www.gstatic.com/atari/embeds/05acf2f48052137958a41565358fb972/intermediate-frame-minified.html?jsh=m%3B%2F_%2Fscs%2Fabc-static%2F_%2Fjs%2Fk%3Dgapi.lb.en.ch0Jz-JlMrQ.O%2Fd%3D1%2Frs%3DAHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A%2Fm%3D__features__&r=243807770","<iframe jsname=""WMhH6e"" class="" YMEQtf"" frameborder=""0"" sandbox=""allow-scripts allow-popups a"
"data-embed","https://970923899-atari-embeds.googleusercontent.com/embeds/1eea06de280c5ab9b261c0869a310ca0/inner-frame-minified.html?jsh=m%3B%2F_%2Fscs%2Fabc-static%2F_%2Fjs%2Fk%3Dgapi.lb.en.ch0Jz-JlMrQ.O%2Fd%3D1%2Frs%3DAHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A%2Fm%3D__features__","<div jsname=""jkaScf"" jscontroller=""szRU7e"" class=""w536ob"" data-enable-interaction=""true"" dat"
"youtube-pattern","https://www.youtube.com/embed/dQw4w9WgXcQ",""
