SiteId,SiteName,SiteUrl,PageUrl,PageTitle,Depth,InternalLinksDiscovered,EmbedCount,HtmlSnapshot,CrawlStatus
19JMNQ5kCG9VAAaWjrW65uH_G5--5r3un,Roche Corp Migration Test Site,https://sites.google.com/d/19JMNQ5kCG9VAAaWjrW65uH_G5--5r3un/edit,https://sites.google.com/d/19JMNQ5kCG9VAAaWjrW65uH_G5--5r3un/edit,Roche Corp Migration Test Site,0,0,2,19JMNQ5kCG9VAAaWjrW65uH_G5--5r3un_1.html,Success
1NjuZKIVbHZ1Eu10zCTi2JtvM0kjkKf2N,Narendra,https://sites.google.com/d/1NjuZKIVbHZ1Eu10zCTi2JtvM0kjkKf2N/edit,https://sites.google.com/d/1NjuZKIVbHZ1Eu10zCTi2JtvM0kjkKf2N/edit,Narendra,0,0,3,1NjuZKIVbHZ1Eu10zCTi2JtvM0kjkKf2N_1.html,Success
1mgU_62TMyFa0NbrGUp0PJnCNLpUnU7NQ,Portal,https://sites.google.com/d/1mgU_62TMyFa0NbrGUp0PJnCNLpUnU7NQ/edit,https://sites.google.com/d/1mgU_62TMyFa0NbrGUp0PJnCNLpUnU7NQ/edit,Error 403 (Forbidden)!!1,0,0,0,1mgU_62TMyFa0NbrGUp0PJnCNLpUnU7NQ_1.html,Success
1gYoSaEOs_JYhx1rYWJ-3NcqScLVvFt3u,Project,https://sites.google.com/d/1gYoSaEOs_JYhx1rYWJ-3NcqScLVvFt3u/edit,https://sites.google.com/d/1gYoSaEOs_JYhx1rYWJ-3NcqScLVvFt3u/edit,Error 403 (Forbidden)!!1,0,0,0,1gYoSaEOs_JYhx1rYWJ-3NcqScLVvFt3u_1.html,Success
